Place,race_number,team,car_no,lap_end_state,lap_progress,lap_time,Delta
1,5,Speed Racer,77,lap_complete,100.0,10.86340045928955,
2,5,RB,99,lap_complete,100.0,11.859156131744385,0.995755672454834
3,5,GhostRiderz,38,lap_complete,100.0,13.289679765701294,1.4305236339569092
4,5,T-Minus-10,10,lap_complete,100.0,16.49752163887024,3.2078418731689453
5,5,BabyStep,28,lap_complete,100.0,30.06267738342285,13.565155744552612
6,5,Beserk Baby,22,off_track,74.4263,11.765233993530273,
7,5,RaceCar,18,off_track,48.4646,7.285991191864014,
8,5,Marathon,55,off_track,4.9767,1.9027693271636963,
9,5,BlueStreak,05,off_track,3.98,1.1429176330566406,
10,5,Storm,35,off_track,3.6567,1.397085189819336,
11,5,Lightning McQueen,24,off_track,2.9726,1.5538914203643799,
12,5,PIM Particle,11,off_track,1.5409,1.1708226203918457,
13,5,Artificial Racer,88,off_track,1.2964,1.065847635269165,
