Place,race_number,team,car_no,lap_end_state,lap_progress,lap_time,Delta
1,4,SpeedRacer,77,lap_complete,100.0,10.753316640853882,
2,4,GhostRiderz,66,lap_complete,100.0,12.089426517486572,1.3361098766326904
3,4,Flying Iceman,44,lap_complete,100.0,12.149595022201538,0.06016850471496582
4,4,Baby Step,28,lap_complete,100.0,14.794626474380493,2.645031452178955
5,4,PIMParticle,11,lap_complete,100.0,15.578406572341919,0.7837800979614258
6,4,Storm,35,lap_complete,100.0,17.610048532485962,2.031641960144043
7,4,BlueStreak,05,off_track,94.7456,11.684227705001831,
8,4,RB,99,off_track,55.1129,6.134896755218506,
9,4,T Minus 10,10,off_track,47.7235,5.79868483543396,
10,4,Artificial Racer,88,off_track,38.1327,4.222985506057739,
11,4,Lightning McQueen,95,off_track,29.6201,3.9150195121765137,
