episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
0,1.0,2.550047852870049,0.6831219220689344,0.04471856815691147,-30.0,1.5,0,1.0,False,True,-2.036860611563611,69,17.671677230923088,1600647464.528789,in_progress
0,2.0,2.5515846237817383,0.6837743574280631,0.26947457491405163,-30.0,1.5,0,1.0,False,True,-2.02816305532707,69,17.671677230923088,1600647464.5781696,in_progress
0,3.0,2.55688009297504,0.6868906740397338,1.3058245678391305,-15.0,1.5,2,1.0,False,True,-1.9981908976341884,69,17.671677230923088,1600647464.6462464,in_progress
0,4.0,2.5693395219882613,0.6926703757061651,3.3445179889180294,-30.0,1.5,0,1.0,False,True,-1.9276741359796574,69,17.671677230923088,1600647464.7129307,in_progress
0,5.0,2.5932490428150925,0.7020862645989432,6.2167030316993275,-30.0,1.5,0,1.0,False,True,-1.7923565582934202,69,17.671677230923088,1600647464.7817276,in_progress
0,6.0,2.62674827413032,0.7146054697979485,9.369559033196431,-30.0,1.5,0,1.0,False,True,-1.6027667164964043,69,17.671677230923088,1600647464.8495197,in_progress
0,7.0,2.668261554259883,0.7302846488397181,12.403850036432516,0.0,1.5,4,1.0,False,True,-1.3678208062456179,69,17.671677230923088,1600647464.915752,in_progress
0,8.0,2.727115738255738,0.7534549274187492,15.69373596349019,-15.0,1.5,2,0.5,False,True,-1.0347315184976935,69,17.671677230923088,1600647464.9808218,in_progress
0,9.0,2.7857531567760345,0.7775836451869448,18.156268586655592,-30.0,1.5,0,0.5,False,True,-0.7028669181865297,69,17.671677230923088,1600647465.0497572,in_progress
0,10.0,2.8675440777208814,0.8131284859479038,20.733808526429357,-30.0,1.5,0,0.5,False,True,-0.2399588294115631,70,17.671677230923088,1600647465.1161563,in_progress
0,11.0,2.963590261046671,0.8560648648255093,22.56041071208799,-30.0,1.5,0,0.1,False,True,0.3036314935748785,0,17.671677230923088,1600647465.1830368,in_progress
0,12.0,3.0571665002036275,0.8975264687873048,23.24714541348301,-30.0,1.5,0,0.1,False,True,0.8332419819126226,0,17.671677230923088,1600647465.249332,in_progress
0,13.0,3.1608264633905248,0.9428891013498565,23.44408997539361,-30.0,1.5,0,0.1,False,False,1.419921858216259,1,17.671677230923088,1600647465.3141196,in_progress
0,14.0,3.2530182761753825,0.9820938911993886,23.198371900937484,15.0,1.5,6,0.1,False,False,1.94169362758439,1,17.671677230923088,1600647465.3834033,in_progress
0,15.0,3.351698585380284,1.0209880071020834,22.253191311217744,0.0,1.5,4,0.001,False,False,2.5001816907814454,1,17.671677230923088,1600647465.4518073,in_progress
0,16.0,3.4412430065053607,1.0553718053216852,21.63790962542624,0.0,1.5,4,0.001,False,False,3.0069627209873495,2,17.671677230923088,1600647465.5174384,in_progress
0,17.0,3.548773011228828,1.0957820526100805,21.056237886437355,0.0,1.5,4,0.001,True,False,3.6155322612746996,3,17.671677230923088,1600647465.5846574,off_track
1,1.0,2.5500678297383135,0.6830697756898965,0.02314368109571868,0.0,1.5,4,1.0,False,True,-2.036747672514778,69,17.671677230923088,1600647466.2817986,in_progress
1,2.0,2.550517139835103,0.68308875332885,0.030848389689236255,-30.0,1.5,0,1.0,False,True,-2.034205090693675,69,17.671677230923088,1600647466.3243093,in_progress
1,3.0,2.5555704507905137,0.6828283022394483,-0.04463138228098256,-30.0,1.5,0,1.0,False,True,-2.0056100826885626,69,17.671677230923088,1600647466.387395,in_progress
1,4.0,2.576719006175927,0.6809396555641454,-0.7407955225474435,0.0,1.5,4,1.0,False,True,-1.885939048926204,69,17.671677230923088,1600647466.4531074,in_progress
1,5.0,2.6087064051925952,0.6776204428082299,-1.7947609435805343,15.0,1.5,6,1.0,False,True,-1.7049363636376569,69,17.671677230923088,1600647466.5231047,in_progress
1,6.0,2.6630015279026527,0.6731744426515807,-2.70846941506596,15.0,1.5,6,1.0,False,True,-1.3977016340475927,69,17.671677230923088,1600647466.589086,in_progress
1,7.0,2.729590698797508,0.668343497849853,-3.2309888159343743,15.0,1.5,6,1.0,False,True,-1.0208984666842298,69,17.671677230923088,1600647466.6559758,in_progress
1,8.0,2.807377060317073,0.6633807881952418,-3.3673892866140065,-15.0,1.5,2,1.0,False,True,-0.5807332162787162,69,17.671677230923088,1600647466.7216148,in_progress
1,9.0,2.8969325561761603,0.6582315567170973,-3.297061421705985,-15.0,1.5,2,1.0,False,True,-0.07396949448678924,70,17.671677230923088,1600647466.7883546,in_progress
1,10.0,2.995898471981551,0.6525534035063523,-3.2737782940164566,-15.0,1.5,2,1.0,False,True,0.48604457885683944,0,17.671677230923088,1600647466.8547108,in_progress
1,11.0,3.1146625107703114,0.644572708929233,-3.654465877216826,0.0,1.5,4,1.0,False,True,1.1580870594637378,0,17.671677230923088,1600647466.9222455,in_progress
1,12.0,3.2095887804901166,0.6371154386788177,-4.087458082017319,0.0,1.5,4,1.0,False,True,1.6952380970848877,1,17.671677230923088,1600647466.9885979,in_progress
1,13.0,3.318706509403486,0.6287311841668026,-4.262132467504437,0.0,1.5,4,1.0,False,True,2.312693492327731,1,17.671677230923088,1600647467.0569248,in_progress
1,14.0,3.4309408938102584,0.619843332868388,-4.376934037664252,-15.0,1.5,2,0.5,False,True,2.9477843118318847,2,17.671677230923088,1600647467.1256797,in_progress
1,15.0,3.525715093403609,0.6096815193242408,-5.240265981913877,-15.0,1.5,2,0.5,False,True,3.484069347806752,3,17.671677230923088,1600647467.192532,in_progress
