x,y
2.55,0.6831
2.5504,0.6831
2.5522,0.6833
2.5678,0.6857
2.5973,0.6899
2.6459,0.6977
2.7038,0.7064
2.7738,0.7157
2.8438,0.7231
2.9214,0.7305
2.997,0.7357
3.0852,0.7392
3.1841,0.7394
3.2643,0.7351
3.3353,0.7304
3.4091,0.724
3.4962,0.7117
3.5692,0.7012
3.6357,0.6909
3.6964,0.6798
3.7697,0.666
3.8368,0.6532
3.9207,0.6388
4.0006,0.6313
4.1049,0.6296
4.2167,0.6362
4.314,0.6503
4.3915,0.6693
4.46,0.6904
4.5285,0.7141
4.6095,0.7433
4.6775,0.7666
4.7457,0.79
4.8141,0.8139
4.8814,0.8376
4.9448,0.8603
5.0135,0.8834
5.0796,0.9016
5.18,0.9196
5.2703,0.9295
5.3517,0.9316
5.4292,0.927
5.4971,0.9168
5.5649,0.9034
5.6437,0.8874
5.7103,0.8737
5.7749,0.8591
5.8672,0.8382
5.9374,0.8222
6.007,0.8058
6.086,0.7908
6.1676,0.7809
6.285,0.7779
6.3932,0.787
6.4896,0.8078
6.5641,0.8334
6.6383,0.8678
6.7012,0.9053
6.7672,0.9538
6.821,1.0013
6.8772,1.0622
6.9281,1.1291
6.9702,1.2006
7.0132,1.2961
7.0505,1.4112
7.0654,1.4873
7.0702,1.5758
7.0672,1.6494
7.0607,1.7215
7.0474,1.8023
7.0236,1.8911
6.994,1.9807
6.9542,2.0754
6.9107,2.1583
6.8365,2.2752
6.7623,2.3713
6.6664,2.4741
6.5749,2.5559
6.4813,2.6211
6.3989,2.6652
6.3179,2.6978
6.2345,2.7229
6.1412,2.7399
6.0295,2.7478
5.9432,2.7447
5.8706,2.7318
5.7996,2.7144
5.7312,2.697
5.658,2.6777
5.5871,2.6597
5.5085,2.6418
5.3979,2.6251
5.2985,2.6196
5.1743,2.625
5.0471,2.6431
4.9515,2.6688
4.8389,2.713
4.7318,2.7723
4.6286,2.8451
4.5208,2.936
4.4376,3.0168
4.3406,3.1257
4.2742,3.2186
4.2254,3.3022
4.1844,3.3804
4.1459,3.4574
4.1071,3.5343
4.0632,3.6153
4.0248,3.6837
3.9881,3.7461
3.9414,3.8127
3.9005,3.8616
3.817,3.9466
3.76,3.9972
3.6967,4.0472
3.6306,4.0967
3.5698,4.1365
3.5035,4.1748
3.4424,4.209
3.3749,4.2468
3.3182,4.2781
3.2729,4.3029
3.191,4.3484
3.1178,4.3884
3.0564,4.4225
2.9829,4.4637
2.9268,4.4959
2.8594,4.5345
2.7772,4.579
2.6871,4.6214
2.6156,4.6514
2.5367,4.6803
2.4629,4.701
2.3544,4.7171
2.2558,4.72
2.1316,4.7091
2.0361,4.688
1.9596,4.6627
1.8896,4.6328
1.8157,4.5949
1.7496,4.559
1.6632,4.5105
1.5805,4.4627
1.4748,4.397
1.4026,4.3446
1.325,4.2804
1.2716,4.2304
1.2199,4.1774
1.1761,4.1255
1.1314,4.0627
1.0955,4.0059
1.0589,3.9408
1.029,3.8763
1.0064,3.8135
0.986,3.7373
0.9725,3.6723
0.9587,3.6033
0.9452,3.535
0.929,3.4558
0.915,3.3893
0.8997,3.3168
0.8853,3.2494
0.8699,3.184
0.8515,3.1129
0.831,3.0416
0.8109,2.9789
0.7877,2.9091
0.7675,2.8421
0.751,2.7789
0.7364,2.7081
0.7258,2.6344
0.7206,2.566
0.7221,2.4818
0.7324,2.4023
0.7489,2.331
0.7711,2.2573
0.7947,2.1956
0.8298,2.1215
0.8628,2.0627
0.8991,2.0013
0.9346,1.945
0.9749,1.8818
1.0133,1.8191
1.0543,1.7504
1.0979,1.6706
1.1394,1.59
1.1695,1.5291
1.2463,1.3832
1.283,1.3246
1.3205,1.2676
1.3687,1.2011
1.4252,1.1327
1.5042,1.0515
1.5935,0.9751
1.6935,0.9048
1.7774,0.8575
1.8643,0.8152
1.942,0.7778
2.0146,0.7425
2.0851,0.7088
2.1372,0.6848
2.2027,0.6549
2.2747,0.621
2.3299,0.5941
2.4024,0.5588
2.4634,0.5296
2.527,0.4978
2.59,0.4674
2.6573,0.4384
2.7218,0.4117
2.7873,0.3873
2.8562,0.3646
2.931,0.3454
