episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
0,1.0,2.550040604284976,0.6830920138352956,0.03202702102015657,0.0,3.2,5,1.0,False,True,-2.036901690160647,69,17.671677230923088,1600356529.3637614,in_progress
0,2.0,2.551901903050812,0.6834315166636701,0.48205529662939867,0.0,3.2,5,1.0,False,True,-2.0263683378481545,69,17.671677230923088,1600356529.3960981,in_progress
0,3.0,2.554841164413636,0.6848112438947286,1.0195347460227406,0.0,3.2,5,1.0,False,True,-2.009732936455862,69,17.671677230923088,1600356529.4621356,in_progress
0,4.0,2.5664306272817194,0.690436163377772,3.0352948124486043,-15.0,1.6,2,1.0,False,True,-1.9441394280625701,69,17.671677230923088,1600356529.5307794,in_progress
0,5.0,2.585072033643446,0.6989341659463241,5.190692831483628,-15.0,1.6,2,1.0,False,True,-1.838634766334252,69,17.671677230923088,1600356529.5980723,in_progress
0,6.0,2.6161596078166243,0.7118012537238939,8.75181335220835,-15.0,1.6,2,1.0,False,True,-1.662691238835592,69,17.671677230923088,1600356529.6633286,in_progress
0,7.0,2.652720562353089,0.7273182640179954,12.191976699169917,-15.0,1.6,2,1.0,False,True,-1.455769738428387,69,17.671677230923088,1600356529.7296965,in_progress
0,8.0,2.7037403493467065,0.7501638871445819,16.097965068711467,-30.0,1.6,0,0.5,False,True,-1.1670141744492355,69,17.671677230923088,1600356529.7991652,in_progress
0,9.0,2.7624575699506,0.7776642673528475,19.462818382202837,-30.0,1.6,0,0.5,False,True,-0.8346911712504692,69,17.671677230923088,1600356529.867441,in_progress
0,10.0,2.8363055654042553,0.8133780402539907,22.306933043734862,-30.0,1.6,0,0.5,False,True,-0.41672994566796717,70,17.671677230923088,1600356529.9323173,in_progress
0,11.0,2.9062996219544956,0.8480276830477917,24.050323640925544,-30.0,1.6,0,0.1,False,True,-0.020579434727991952,70,17.671677230923088,1600356530.0005612,in_progress
0,12.0,2.9936879549651847,0.892368264742945,25.493567766838225,-30.0,1.6,0,0.1,False,True,0.47402092746802726,0,17.671677230923088,1600356530.0651937,in_progress
0,13.0,3.0912642139620754,0.9431203989676733,26.581870478279694,-30.0,1.6,0,0.1,False,False,1.0262854116981328,0,17.671677230923088,1600356530.1318524,in_progress
0,14.0,3.1882558705035198,0.9934678951616546,27.01933511893197,-30.0,1.6,0,0.001,False,False,1.5752409452709293,1,17.671677230923088,1600356530.198625,in_progress
0,15.0,3.2908404291330595,1.044940583366862,26.795729722713975,0.0,1.6,4,0.001,False,False,2.155847713324965,1,17.671677230923088,1600356530.2648911,in_progress
0,16.0,3.406448785588014,1.0999200801184137,25.900043035693923,0.0,1.6,4,0.001,True,False,2.8101602793012637,2,17.671677230923088,1600356530.3326755,off_track
1,1.0,2.5500886420649156,0.6830405947476723,0.017345317683123678,0.0,1.6,4,1.0,False,True,-2.0366299593371053,69,17.671677230923088,1600356531.0337653,in_progress
1,2.0,2.5503880509990813,0.683079585464826,0.032906928525421736,0.0,3.2,5,1.0,False,True,-2.0349355935411495,69,17.671677230923088,1600356531.0654836,in_progress
1,3.0,2.554267347278035,0.6829681955063527,-0.014795314012629643,0.0,3.2,5,1.0,False,True,-2.0129837654411915,69,17.671677230923088,1600356531.134042,in_progress
1,4.0,2.572657722637257,0.6825438401879956,-0.17460419429609159,0.0,3.2,5,1.0,False,True,-1.9089176814315607,69,17.671677230923088,1600356531.1993203,in_progress
1,5.0,2.6032976771612653,0.6820316114335178,-0.32908560860493974,0.0,3.2,5,1.0,False,True,-1.7355341987034336,69,17.671677230923088,1600356531.2691905,in_progress
1,6.0,2.65331117493939,0.6810099700398929,-0.5817695549048483,0.0,3.2,5,1.0,False,True,-1.45252128101464,69,17.671677230923088,1600356531.3353684,in_progress
1,7.0,2.7169059663161472,0.679382246385573,-0.9073026937436688,0.0,3.2,5,1.0,False,True,-1.0926561445281067,69,17.671677230923088,1600356531.403238,in_progress
1,8.0,2.7986072134441473,0.6772137119149875,-1.1810858334812169,0.0,3.2,5,1.0,False,True,-0.6303317959775399,69,17.671677230923088,1600356531.4688973,in_progress
1,9.0,2.881695932679162,0.6749421237374128,-1.355725034980945,0.0,3.2,5,1.0,False,True,-0.16015626749891965,70,17.671677230923088,1600356531.5349524,in_progress
1,10.0,2.995554528980902,0.6720271933844565,-1.4141811296699744,0.0,3.2,5,1.0,False,True,0.4841376805135347,0,17.671677230923088,1600356531.601509,in_progress
1,11.0,3.106709815131505,0.66939280426314,-1.3670465950369632,15.0,1.6,6,1.0,False,True,1.113134780088857,0,17.671677230923088,1600356531.6704938,in_progress
1,12.0,3.2394572503306955,0.6661120001274395,-1.643159056087247,15.0,1.6,6,1.0,False,True,1.8643156219726762,1,17.671677230923088,1600356531.7371984,in_progress
1,13.0,3.348227945734296,0.6637522086670182,-1.3903752695781122,0.0,1.6,4,1.0,False,True,2.4798194215500806,1,17.671677230923088,1600356531.8041306,in_progress
1,14.0,3.4608789127006503,0.6619195604116477,-1.114757252144236,15.0,1.6,6,1.0,False,True,3.1172818599289895,2,17.671677230923088,1600356531.8692334,in_progress
1,15.0,3.573408487811729,0.6624583569764199,-0.32945879471204265,0.0,3.2,5,1.0,False,True,3.7540621670495553,3,17.671677230923088,1600356531.9360104,in_progress
1,16.0,3.6910144749188776,0.6658941232438849,0.8255811101952855,0.0,3.2,5,1.0,False,True,4.419574593360162,3,17.671677230923088,1600356532.0043266,in_progress
