episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
0,1.0,2.547057412584245,0.6985340867533072,3.787821395643627,-30.0,1.15,0,1.0,False,True,-2.0537516517608623,69,17.671677230923088,1600448437.56489,in_progress
0,2.0,2.5476172729479525,0.6990207902367436,3.9058184714657975,-10.000000000000004,1.15,6,1.0,False,True,-2.0505825449377397,69,17.671677230923088,1600448437.5862818,in_progress
0,3.0,2.548627830316932,0.6980140026012519,3.61613985011016,-10.000000000000004,1.15,6,1.0,False,True,-2.044866067914114,69,17.671677230923088,1600448437.6516895,in_progress
0,4.0,2.5576435124093178,0.699626077576851,3.888137157099707,-10.000000000000004,1.15,6,1.0,False,True,-1.9938451165353541,69,17.671677230923088,1600448437.7191052,in_progress
0,5.0,2.5722641315612575,0.695979854665917,2.716547703565508,-10.000000000000004,1.15,6,1.0,False,True,-1.9111177417171632,69,17.671677230923088,1600448437.7853317,in_progress
0,6.0,2.5948204571088347,0.6770242214823682,-2.1817587083107455,-20.0,1.15,3,1.0,False,True,-1.7835149850638459,69,17.671677230923088,1600448437.85326,in_progress
0,7.0,2.6269803229337527,0.6537703508013142,-7.5214623866994925,0.0,1.15,9,1.0,False,True,-1.601576678485955,69,17.671677230923088,1600448437.9197433,in_progress
0,8.0,2.665203863258316,0.6256015812984136,-12.950748011669573,0.0,1.15,9,1.0,False,True,-1.3853353631355247,69,17.671677230923088,1600448437.986962,in_progress
0,9.0,2.7062204768369984,0.5890183431508986,-19.215116549257978,20.0,1.15,15,0.5,False,True,-1.153305705855118,69,17.671677230923088,1600448438.0520997,in_progress
0,10.0,2.7516553688972674,0.5498025676147538,-24.373655032798524,0.0,1.15,9,0.5,False,True,-0.8962793434783691,69,17.671677230923088,1600448438.1204462,in_progress
0,11.0,2.8100122333059177,0.5067521154200024,-27.789432158461487,20.0,1.15,15,0.1,False,True,-0.5661382426322348,69,17.671677230923088,1600448438.1869268,in_progress
0,12.0,2.8674807895617884,0.4662974455275528,-29.844608057881647,9.999999999999998,1.15,12,0.1,False,True,-0.24101862372273786,70,17.671677230923088,1600448438.252221,in_progress
0,13.0,2.9276127755160593,0.42919122842488566,-30.356437871854876,20.0,1.15,15,0.1,False,True,0.09917951091517989,0,17.671677230923088,1600448438.3202238,in_progress
0,14.0,2.9915121662405677,0.39177000378756355,-30.361314658624607,20.0,1.15,15,0.1,False,False,0.4606958931770767,0,17.671677230923088,1600448438.387017,in_progress
0,15.0,3.0641696587707568,0.3471612862303389,-30.80135082037145,20.0,1.15,15,0.001,False,False,0.8717578366044042,0,17.671677230923088,1600448438.4549947,in_progress
0,16.0,3.1342804891403278,0.3101148136618985,-29.924739451529845,20.0,1.15,15,0.001,False,False,1.268424098214147,1,17.671677230923088,1600448438.5204017,in_progress
0,17.0,3.2057678218973362,0.2752568867489019,-28.720371813114156,20.0,1.15,15,0.001,False,False,1.6728841006590007,1,17.671677230923088,1600448438.5884945,in_progress
0,18.0,3.2759289951558546,0.24453414123170814,-27.258414384036072,20.0,1.15,15,0.001,False,False,2.0698480345010246,1,17.671677230923088,1600448438.6530962,in_progress
0,19.0,3.3459606602980743,0.22222095392153665,-24.546090365265446,20.0,1.15,15,0.001,False,False,2.4660961244972466,1,17.671677230923088,1600448438.721177,in_progress
0,20.0,3.436299970052812,0.20086464929664893,-20.61497153349009,20.0,1.15,15,0.001,True,False,2.977262482542874,2,17.671677230923088,1600448438.7902243,off_track
1,1.0,2.549899950452013,0.6831513177420198,0.0680327812409188,9.999999999999998,1.15,12,1.0,False,True,-2.037697498167134,69,17.671677230923088,1600448439.472523,in_progress
1,2.0,2.550221340604896,0.6832410485806184,0.09707620362077408,-30.0,1.15,0,1.0,False,True,-2.0358786430140867,69,17.671677230923088,1600448439.5218115,in_progress
