x,y
0.7046,3.5678
0.6929,3.5275
0.6821,3.4779
0.676,3.433
0.6736,3.3925
0.6749,3.3489
0.6786,3.3125
0.6855,3.2643
0.6942,3.2192
0.7032,3.1844
0.7176,3.1388
0.7374,3.0923
0.7651,3.0374
0.7876,2.9928
0.8049,2.9549
0.8184,2.9229
0.8346,2.8841
0.851,2.8405
0.8672,2.7975
0.8814,2.7536
0.8965,2.7041
0.9086,2.6611
0.923,2.612
0.936,2.5636
0.9468,2.5186
0.9564,2.4724
0.9629,2.4364
0.9629,2.4364
0.9684,2.3727
0.9685,2.3563
0.9673,2.3273
0.9654,2.3002
0.9634,2.2507
0.963,2.2021
0.9644,2.158
0.9679,2.1029
0.9737,2.0578
0.9818,2.013
0.9933,1.968
1.0069,1.9247
1.0191,1.8902
1.0366,1.8415
1.0528,1.7924
1.0749,1.7296
1.0931,1.686
1.1131,1.643
1.1334,1.5985
1.1537,1.5583
1.184,1.5093
1.2186,1.4634
1.2529,1.4212
1.2916,1.3739
1.3263,1.3346
1.3582,1.2988
1.3868,1.2662
1.4175,1.2292
1.4529,1.1877
1.4871,1.1432
1.5172,1.1027
1.5664,1.04
1.608,0.9926
1.6495,0.9516
1.6833,0.9226
1.7227,0.8893
1.7525,0.8622
1.779,0.8393
1.8187,0.8091
1.8664,0.7776
1.9061,0.7534
1.9329,0.7387
1.9577,0.7275
1.9791,0.7198
2.0205,0.7079
2.068,0.699
2.1134,0.6943
2.1561,0.6921
2.1911,0.6934
2.276,0.7072
2.3269,0.7197
2.3748,0.737
2.4169,0.7555
2.4633,0.7779
2.502,0.7948
2.5383,0.809
2.5675,0.8198
2.6005,0.8314
2.6512,0.8526
2.6814,0.8674
2.7275,0.8907
2.771,0.9118
2.8228,0.934
2.8652,0.9532
2.9083,0.9722
2.9494,0.9883
