x,y
2.5501,0.6831
2.5508,0.6832
2.5621,0.6847
2.5858,0.6882
2.6176,0.6918
2.6651,0.6979
2.7263,0.7034
2.8018,0.7073
2.8826,0.7089
2.9907,0.705
3.0751,0.6977
3.1606,0.6889
3.2291,0.6822
3.2782,0.6782
3.3487,0.6708
3.4016,0.6651
3.463,0.6612
3.5207,0.661
3.5774,0.6625
3.6365,0.6638
3.6912,0.6665
3.7931,0.6725
3.8141,0.6738
3.8684,0.676
3.9245,0.6779
3.9851,0.6783
4.0463,0.6782
4.1039,0.6754
4.1604,0.6718
4.2224,0.6691
4.2767,0.6667
4.3388,0.6656
4.3958,0.6651
4.4501,0.6641
4.5071,0.6645
4.5699,0.6661
4.6154,0.6684
4.6808,0.6719
4.7444,0.6748
4.8005,0.6762
4.86,0.6771
4.9188,0.6751
4.9752,0.6724
5.0311,0.6673
5.0923,0.6614
5.1463,0.6565
5.2075,0.6512
5.2686,0.647
5.3219,0.6437
5.3819,0.643
5.4403,0.6443
5.4974,0.6485
5.551,0.6544
5.614,0.6631
5.6682,0.6707
5.7351,0.6808
5.7975,0.689
5.8557,0.6949
5.9397,0.7012
6.0158,0.7076
6.0999,0.7188
6.1594,0.7285
6.2162,0.7416
6.2677,0.7568
6.32,0.7761
6.3755,0.7999
6.4445,0.8391
6.5139,0.8892
6.5778,0.9473
6.6847,1.0662
6.7173,1.1085
6.7606,1.1723
6.8096,1.2485
6.8626,1.3305
6.9153,1.4176
6.9605,1.5043
7.0036,1.6178
7.0324,1.7242
7.0465,1.8184
7.0479,1.9148
7.0398,2.0163
7.0277,2.0854
7.0063,2.1522
6.9812,2.213
6.9557,2.268
6.92,2.328
6.8771,2.3832
6.8261,2.4384
6.7735,2.4856
6.7248,2.5224
6.6694,2.554
6.5996,2.5853
6.5502,2.6026
6.4916,2.6199
6.4343,2.636
6.3803,2.6509
6.3263,2.666
6.2693,2.6825
6.2085,2.6974
6.1603,2.708
6.1025,2.7169
6.0484,2.7233
5.9859,2.7264
5.9309,2.7269
5.8666,2.7274
5.8041,2.7263
5.7485,2.7256
5.6525,2.7265
5.5716,2.7292
5.4941,2.7342
5.4217,2.7424
5.3306,2.7573
5.2413,2.7781
5.1677,2.8023
5.1043,2.8264
5.0434,2.852
4.9894,2.8752
4.9322,2.9004
4.9056,2.9122
4.7729,2.9742
4.7225,3.0016
4.6747,3.0307
4.6231,3.0657
4.5701,3.1068
4.53,3.1422
4.4916,3.1809
4.4523,3.2271
4.417,3.2754
4.3813,3.3291
4.3479,3.3778
4.3114,3.429
4.2762,3.4746
4.2392,3.5179
4.2015,3.5582
4.15,3.6065
4.0986,3.6463
4.0515,3.6791
4.002,3.7104
3.9457,3.7423
3.8964,3.7696
3.8344,3.8046
3.7771,3.8407
3.7121,3.8851
3.6371,3.9423
3.5685,3.9981
3.4968,4.0632
3.4247,4.1337
3.3379,4.2225
3.2601,4.3018
3.1786,4.3793
3.0869,4.4533
3.0124,4.5051
2.9428,4.5456
2.8798,4.575
2.8219,4.5956
2.7689,4.6088
2.7043,4.6203
2.6382,4.6283
2.5803,4.629
2.4946,4.6214
2.4093,4.6029
2.3284,4.5778
2.2564,4.5453
2.1937,4.5137
2.1418,4.4882
2.0885,4.4639
1.9268,4.4099
1.8877,4.4004
1.8291,4.3874
1.7544,4.3746
1.6801,4.3632
1.617,4.3527
1.5629,4.3422
1.4937,4.3239
1.4185,4.2953
1.3422,4.2568
1.2459,4.1923
1.1475,4.1051
1.0725,4.0217
0.969,3.8746
0.9049,3.7616
0.8482,3.6435
0.8051,3.5331
0.7778,3.4349
0.7629,3.3297
0.7595,3.232
0.7691,3.1645
0.7864,3.0989
0.8096,3.0391
0.8388,2.9606
0.8597,2.8886
0.8744,2.8179
0.8801,2.7531
0.8818,2.6956
0.8819,2.6298
0.8788,2.5729
0.8748,2.5109
0.8707,2.4484
0.8685,2.3705
0.8684,2.2844
0.8716,2.2308
0.8795,2.1576
0.8883,2.1003
0.9022,2.0426
0.9158,1.999
0.9402,1.941
0.9659,1.8934
0.9913,1.8519
1.0224,1.8026
1.056,1.7536
1.0991,1.6941
1.1418,1.6377
1.1976,1.5684
1.2572,1.498
1.3372,1.4018
1.397,1.3235
1.4558,1.2343
1.5117,1.1426
1.5639,1.0598
1.6185,0.9862
1.6757,0.919
1.7563,0.841
1.8376,0.7782
1.9372,0.7195
2.0586,0.6675
2.173,0.6322
2.2912,0.6085
2.3847,0.6018
2.5109,0.6076
2.6368,0.628
2.7294,0.6558
2.8121,0.6855
2.8956,0.7188
2.9891,0.7524
