episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
0,1.0,2.5500374372588968,0.6830788530645103,0.030504049486740018,-30.0,2.6666666666666665,1,1.0,False,True,-2.036919638264436,69,17.671677230923088,1600648197.1731982,in_progress
0,2.0,2.5523708732462933,0.6830851361208431,0.04589595652344916,0.0,2.6666666666666665,7,1.0,False,True,-2.023715243152239,69,17.671677230923088,1600648197.225179,in_progress
0,3.0,2.5617654937721177,0.6829630952067874,-0.025942630215137586,0.0,2.6666666666666665,7,1.0,False,True,-1.9705534737743875,69,17.671677230923088,1600648197.2951634,in_progress
0,4.0,2.586928173379226,0.6823846589988586,-0.23642533656751435,30.0,1.3333333333333333,12,1.0,False,True,-1.828164775327707,69,17.671677230923088,1600648197.3628776,in_progress
0,5.0,2.6329691454234982,0.6829389604054265,0.0026551375305833074,-15.0,2.6666666666666665,4,1.0,False,True,-1.5676282870920204,69,17.671677230923088,1600648197.42878,in_progress
0,6.0,2.6880794117893405,0.6847656471830756,0.6083964695509172,0.0,2.6666666666666665,7,1.0,False,True,-1.255768155305745,69,17.671677230923088,1600648197.493588,in_progress
0,7.0,2.753651921271712,0.6869558911671299,1.0899982179166716,-30.0,2.6666666666666665,1,1.0,False,True,-0.8847038388444872,69,17.671677230923088,1600648197.5610292,in_progress
0,8.0,2.83749385382753,0.6889340598532699,1.1871717515197922,-30.0,1.3333333333333333,0,1.0,False,True,-0.41025745033476824,70,17.671677230923088,1600648197.6266415,in_progress
0,9.0,2.9252149468466886,0.6871278102711891,0.44883504653372513,30.0,1.3333333333333333,12,1.0,False,True,0.08613256695767238,0,17.671677230923088,1600648197.6955721,in_progress
0,10.0,3.0211504654458916,0.6833087493852074,-0.9119302474022879,30.0,1.3333333333333333,12,1.0,False,True,0.6290020742796858,0,17.671677230923088,1600648197.7610261,in_progress
0,11.0,3.115862883435358,0.6808064065269077,-1.1884673366974081,0.0,1.3333333333333333,6,1.0,False,True,1.1649529978315452,1,17.671677230923088,1600648197.828498,in_progress
0,12.0,3.2101998997891434,0.6799611467677772,-0.864598731535526,30.0,1.3333333333333333,12,1.0,False,True,1.6987829614745,1,17.671677230923088,1600648197.896045,in_progress
0,13.0,3.3001274537751875,0.6817818789644652,0.11182585788659534,30.0,1.3333333333333333,12,1.0,False,True,2.207666176080631,1,17.671677230923088,1600648197.961596,in_progress
0,14.0,3.3997667204054562,0.6904272371454605,2.6524965911760443,0.0,1.3333333333333333,6,1.0,False,True,2.7715195656337586,2,17.671677230923088,1600648198.0298488,in_progress
0,15.0,3.488377159748168,0.7024061861530065,5.062264220117372,0.0,1.3333333333333333,6,1.0,False,True,3.272970079390911,2,17.671677230923088,1600648198.0963116,in_progress
0,16.0,3.5854266127278027,0.7178807230326784,7.096330144924196,-30.0,1.3333333333333333,0,1.0,False,True,3.8221821196405292,3,17.671677230923088,1600648198.163471,in_progress
0,17.0,3.686254820945163,0.7324663478680112,7.639572333831651,-30.0,1.3333333333333333,0,1.0,False,True,4.39277547617758,3,17.671677230923088,1600648198.2283866,in_progress
0,18.0,3.7719455128922936,0.7409905107262044,6.726407952723506,-30.0,1.3333333333333333,0,1.0,False,True,4.877696815660412,3,17.671677230923088,1600648198.2967188,in_progress
0,19.0,3.863668003828203,0.7448759909990228,4.713881333274005,30.0,1.3333333333333333,12,0.5,False,True,5.396741346467881,3,17.671677230923088,1600648198.3667614,in_progress
0,20.0,3.963113361947468,0.7466105551471585,2.848613050622128,-30.0,1.3333333333333333,0,0.5,False,True,5.959483470982406,4,17.671677230923088,1600648198.432516,in_progress
0,21.0,4.060867738922452,0.7454816065297242,1.097532287022053,0.0,1.3333333333333333,6,0.5,False,True,6.512650925553849,4,17.671677230923088,1600648198.4988036,in_progress
0,22.0,4.157511790143369,0.7413015635335742,-0.6584836154090277,0.0,1.3333333333333333,6,1.0,False,True,7.0595291271993545,4,17.671677230923088,1600648198.5655282,in_progress
0,23.0,4.250911218788634,0.7359809179549404,-1.903171816035783,0.0,1.3333333333333333,6,1.0,False,True,7.588044441713265,4,17.671677230923088,1600648198.6330388,in_progress
0,24.0,4.3441046810575425,0.7296554322455495,-2.848364306301507,0.0,2.6666666666666665,7,1.0,False,True,8.11539220659365,4,17.671677230923088,1600648198.7034957,in_progress
0,25.0,4.450983603913887,0.7205495632328632,-3.977165101129673,0.0,2.6666666666666665,7,1.0,False,True,8.720177248771028,5,17.671677230923088,1600648198.7639952,in_progress
0,26.0,4.553393337598484,0.7100453529819424,-4.988603369746777,-30.0,1.3333333333333333,0,1.0,False,True,9.299669339138934,6,17.671677230923088,1600648198.8332305,in_progress
0,27.0,4.663159717145812,0.6925210421950649,-6.989747145028729,0.0,1.3333333333333333,6,1.0,False,True,9.92077680956516,6,17.671677230923088,1600648198.8976867,in_progress
0,28.0,4.767778233173702,0.6716983711941323,-9.405465627534182,15.0,4.0,11,1.0,False,True,10.512747020877995,6,17.671677230923088,1600648198.9652898,in_progress
0,29.0,4.880646106601254,0.6475574941107624,-10.909411551921217,30.0,1.3333333333333333,12,1.0,False,True,11.151391752529864,6,17.671677230923088,1600648199.0309486,in_progress
0,30.0,4.982834549890923,0.6312800277504436,-10.312533215628946,0.0,1.3333333333333333,6,1.0,False,True,11.729619931329973,7,17.671677230923088,1600648199.0993953,in_progress
0,31.0,5.088178982558791,0.6176551787477517,-8.742271959721322,0.0,1.3333333333333333,6,0.5,False,True,12.325712501100273,7,17.671677230923088,1600648199.1653976,in_progress
