2.5502,0.683
2.5514,0.6831
2.5604,0.6825
2.5825,0.6802
2.6207,0.676
2.6764,0.6694
2.7519,0.6616
2.8368,0.6547
2.9268,0.6454
3.0309,0.6289
3.1468,0.6058
3.2536,0.5852
3.4032,0.5591
3.5431,0.5422
3.6882,0.5328
3.8337,0.5302
3.9793,0.5354
4.1196,0.5431
4.2537,0.5476
4.4021,0.5494
4.5311,0.5501
4.6907,0.5494
4.8189,0.5474
5.0466,0.5397
5.2201,0.5259
5.4017,0.499
5.5558,0.4693
5.702,0.4399
5.8506,0.4147
5.9861,0.3995
6.1113,0.3935
6.2246,0.3968
6.3365,0.4098
6.4335,0.4298
6.5374,0.4623
6.6385,0.5064
6.7393,0.5627
6.8183,0.616
6.8951,0.6772
6.9743,0.7523
7.032,0.8165
7.0924,0.8958
7.1518,0.9955
7.1862,1.0722
7.2264,1.194
7.2517,1.3207
7.2625,1.428
7.2595,1.5715
7.2372,1.7198
7.2044,1.85
7.1642,1.9653
7.0915,2.1152
7.0206,2.2294
6.9398,2.3375
6.84,2.4449
6.7251,2.544
6.5807,2.649
6.4422,2.7363
6.312,2.8055
6.1741,2.8643
6.0384,2.9081
5.9382,2.9318
5.7933,2.9569
5.6643,2.9731
5.5308,2.9883
5.3847,3.0014
5.2029,3.0048
5.0484,2.9955
4.8728,2.9811
4.7355,2.9713
4.5905,2.9675
4.4721,2.9733
4.3766,2.9854
4.2549,3.0112
4.1669,3.0383
4.0641,3.0802
3.9517,3.1416
3.8468,3.2143
3.7535,3.2927
3.6575,3.3925
3.5874,3.4809
3.5175,3.5862
3.4634,3.6861
3.4011,3.8117
3.3456,3.9411
3.2951,4.0637
3.2463,4.1679
3.1947,4.2592
3.1314,4.3496
3.064,4.4284
2.9982,4.4931
2.922,4.5563
2.8231,4.6221
2.7371,4.6662
2.6476,4.7028
2.528,4.737
2.4327,4.7526
2.3043,4.76
2.1652,4.751
2.0653,4.7348
1.9364,4.6995
1.7921,4.6412
1.6797,4.5825
1.5638,4.5097
1.4411,4.4186
1.3292,4.3199
1.2333,4.221
1.1365,4.1052
1.0486,3.9818
0.9828,3.8731
0.9209,3.7481
0.8731,3.6234
0.8332,3.4768
0.8057,3.3133
0.7916,3.1366
0.7924,2.9411
0.8069,2.7597
0.8332,2.5905
0.8643,2.4355
0.8969,2.2842
0.9379,2.0903
0.9605,1.9788
1.0058,1.7747
1.048,1.614
1.0879,1.4876
1.1482,1.3369
1.2024,1.2294
1.2696,1.1204
1.3276,1.0423
1.3838,0.9777
1.4715,0.893
1.5521,0.8276
1.6447,0.766
1.7429,0.7156
1.8355,0.6787
1.9341,0.6485
2.0453,0.6254
2.1641,0.6152
2.3069,0.6201
2.425,0.6364
2.548,0.6656
2.7112,0.7185
2.8381,0.7732
2.9776,0.845
