timestamp,message
1593607336057,"SIM_TRACE_LOG:4,34,5.5357,0.5912,-9.5323,10.50,1.50,6,0.5000,False,True,14.8579,8,17.67,1593607335.612789,in_progress"
1593607336057,"SIM_TRACE_LOG:4,35,5.6523,0.5764,-8.1913,21.00,3.00,9,0.5000,False,True,15.5179,9,17.67,1593607335.679774,in_progress"
1593607336057,"SIM_TRACE_LOG:4,36,5.7807,0.5674,-5.4019,21.00,3.00,9,0.5000,False,True,16.2407,9,17.67,1593607335.7472048,in_progress"
1593607336057,"SIM_TRACE_LOG:4,37,5.9153,0.5714,-0.6182,21.00,3.00,9,0.5000,False,True,16.9962,9,17.67,1593607335.8159997,in_progress"
1593607336057,"SIM_TRACE_LOG:4,38,6.0700,0.5921,5.6615,10.50,3.00,7,0.5000,False,True,17.8733,10,17.67,1593607335.8815405,in_progress"
1593607336057,"SIM_TRACE_LOG:4,39,6.2119,0.6248,11.6540,21.00,3.00,9,0.5000,False,True,18.6795,10,17.67,1593607335.9501047,in_progress"
1593607336057,"SIM_TRACE_LOG:4,40,6.3883,0.6823,19.3874,21.00,1.50,8,1.0000,False,True,19.6730,11,17.67,1593607336.0162096,in_progress"
1593607337098,"SIM_TRACE_LOG:4,41,6.5308,0.7417,26.7978,10.50,1.50,6,1.0000,False,True,20.5377,12,17.67,1593607336.0826263,in_progress"
1593607337098,"SIM_TRACE_LOG:4,42,6.6749,0.8128,34.8925,10.50,1.50,6,1.0000,False,True,21.4448,13,17.67,1593607336.149813,in_progress"
1593607337098,"SIM_TRACE_LOG:4,43,6.8048,0.8892,42.5240,10.50,1.50,6,1.0000,False,True,22.3208,14,17.67,1593607336.21535,in_progress"
1593607337098,"SIM_TRACE_LOG:4,44,6.9034,0.9582,48.0620,10.50,1.50,6,1.0000,False,True,23.0169,15,17.67,1593607336.2826881,in_progress"
1593607337098,"SIM_TRACE_LOG:4,45,6.9949,1.0376,51.7166,10.50,1.50,6,1.0000,False,True,23.7294,15,17.67,1593607336.3503222,in_progress"
1593607337098,"SIM_TRACE_LOG:4,46,7.0543,1.1032,52.3677,10.50,1.50,6,1.0000,False,True,24.2280,16,17.67,1593607336.4149091,in_progress"
1593607337098,"SIM_TRACE_LOG:4,47,7.1205,1.1942,53.2056,21.00,1.50,8,1.0000,False,True,24.8716,16,17.67,1593607336.4831562,in_progress"
1593607337098,"SIM_TRACE_LOG:4,48,7.1711,1.2761,55.6314,10.50,1.50,6,1.0000,False,True,25.4149,17,17.67,1593607336.5494864,in_progress"
1593607337098,"SIM_TRACE_LOG:4,49,7.2245,1.3824,60.2173,0.00,1.50,4,1.0000,False,True,26.0684,17,17.67,1593607336.6151662,in_progress"
1593607337098,"SIM_TRACE_LOG:4,50,7.2636,1.4707,63.1515,10.50,1.50,6,1.0000,False,True,26.6049,17,17.67,1593607336.6828084,in_progress"
1593607337098,"SIM_TRACE_LOG:4,51,7.3014,1.5713,66.6003,21.00,3.00,9,0.5000,False,True,27.2075,18,17.67,1593607336.7499347,in_progress"
1593607337098,"SIM_TRACE_LOG:4,52,7.3315,1.6737,70.5346,10.50,1.50,6,0.5000,False,True,27.8106,18,17.67,1593607336.8151348,in_progress"
1593607337099,"SIM_TRACE_LOG:4,53,7.3513,1.7780,75.9035,21.00,1.50,8,0.5000,False,True,28.2661,18,17.67,1593607336.8823764,in_progress"
1593607337099,"SIM_TRACE_LOG:4,54,7.3621,1.8890,80.6358,21.00,1.50,8,0.5000,False,True,28.8055,20,17.67,1593607337.0727887,in_progress"
1593607337099,"SIM_TRACE_LOG:4,55,7.3386,2.1702,95.0659,21.00,3.00,9,0.1000,False,True,30.2994,21,17.67,1593607337.0886328,in_progress"
1593607338158,"SIM_TRACE_LOG:4,56,7.3336,2.1921,96.2912,21.00,3.00,9,0.1000,False,True,30.4255,21,17.67,1593607337.1497345,in_progress"
1593607338158,"SIM_TRACE_LOG:4,57,7.3031,2.2895,102.3365,21.00,3.00,9,0.1000,False,True,31.0021,21,17.67,1593607337.2195706,in_progress"
1593607338158,"SIM_TRACE_LOG:4,58,7.2522,2.4010,110.0660,21.00,3.00,9,0.1000,False,True,31.4535,21,17.67,1593607337.28406,in_progress"
1593607338158,"SIM_TRACE_LOG:4,59,7.1810,2.5178,118.8953,21.00,3.00,9,0.1000,False,True,32.1474,22,17.67,1593607337.3511956,in_progress"
1593607338158,"SIM_TRACE_LOG:4,60,7.0919,2.6328,128.5213,21.00,3.00,9,0.1000,False,True,32.7047,22,17.67,1593607337.417556,in_progress"
1593607338158,"SIM_TRACE_LOG:4,61,6.9759,2.7526,139.8901,21.00,3.00,9,0.1000,False,True,33.6409,23,17.67,1593607337.4865334,in_progress"
1593607338158,"SIM_TRACE_LOG:4,62,6.8487,2.8587,151.3840,21.00,1.50,8,0.1000,False,False,34.3659,23,17.67,1593607337.5504754,in_progress"
1593607338158,"SIM_TRACE_LOG:4,63,6.7183,2.9531,163.6218,0.00,1.50,4,0.1000,False,False,35.0769,24,17.67,1593607337.6180634,in_progress"
1593607338158,"SIM_TRACE_LOG:4,64,6.5943,3.0349,173.8556,21.00,1.50,8,0.0010,False,False,35.5325,24,17.67,1593607337.6849437,in_progress"
1593607338158,"SIM_TRACE_LOG:4,65,6.4771,3.1006,-179.5213,-10.50,1.50,2,0.0010,True,False,36.0841,24,17.67,1593607337.7505684,off_track"
1593607338158,Testing - Name: main_level/agent Worker: 0 Episode: 0 Total reward: 44.4 Steps: 0 Training iteration: 0 
1593607338158,"agent: Finished evaluation phase. Success rate = 0.0, Avg Total Reward = 44.4"
1593607339188,Initializing SageS3Client...
1593607340223,cancel_simulation_job: make sure to shutdown simapp first
1593607356787,[download_params_and_roslaunch_agent_node-2] killing on exit
1593607357851,[agent-10] killing on exit
1593607357851,[visualization_node-9] killing on exit
1593607357851,[agents_video_editor-8] killing on exit
1593607357851,[car_reset_node-7] killing on exit
1593607357851,[gazebo-6] killing on exit
1593607357851,[racecar/kinesis_video_streamer-5] killing on exit
1593607357851,[racecar/h264_video_encoder-4] killing on exit
1593607357851,[racecar/robot_state_publisher-3] killing on exit
1593607357851,[racecar/controller_manager-2] killing on exit
1593607357851,"[ INFO] [1593607356.821775068, 45.415000000]: DeepRacerGazeboSystemPlugin: SigInt event received"
1593607357851,"[INFO] [1593607356.822999, 45.415000]: Shutting down spawner. Stopping and unloading controllers..."
1593607357851,"[INFO] [1593607356.823343, 45.415000]: Stopping all controllers..."
1593607357851,"[ INFO] [1593607356.923222327, 45.415000000]: DeepRacerGazeboSystemPlugin: Destructor"
1593607357851,[rosout-1] killing on exit[libx264 @ 0xc4bc80] frame I:69    Avg QP: 9.32  size: 89296
1593607357851,[libx264 @ 0xc4bc80] frame P:962   Avg QP:11.95  size: 12058
1593607357851,[libx264 @ 0xc4bc80] mb I  I16..4: 18.2% 19.7% 62.2%
1593607357851,[libx264 @ 0xc4bc80] mb P  I16..4:  4.7%  3.4%  1.7%  P16..4: 22.9% 11.5%  8.3%  0.0%  0.0%    skip:47.5%
1593607357851,[libx264 @ 0xc4bc80] final ratefactor: 14.59
1593607357851,[libx264 @ 0xc4bc80] 8x8 transform intra:28.2% inter:21.4%
1593607357851,"[libx264 @ 0xc4bc80] coded y,uvDC,uvAC intra: 73.6% 53.8% 35.3% inter: 24.0% 11.7% 6.5%"
1593607357851,"[libx264 @ 0xc4bc80] i16 v,h,dc,p: 53% 14% 28%  5%"
1593607357851,"[libx264 @ 0xc4bc80] i8 v,h,dc,ddl,ddr,vr,hd,vl,hu:  7% 20% 38%  5%  5%  4%  7%  4% 10%"
1593607357851,"[libx264 @ 0xc4bc80] i4 v,h,dc,ddl,ddr,vr,hd,vl,hu: 12% 21% 21%  7%  8%  6% 10%  6% 10%"
1593607357851,"[libx264 @ 0xc4bc80] i8c dc,h,v,p: 65% 20% 12%  3%"
1593607357851,[libx264 @ 0xc4bc80] Weighted P-Frames: Y:0.0% UV:0.0%
1593607357851,[libx264 @ 0xc4bc80] kb/s:2067.30
1593607357851,[master] killing on exit
1593607357851,shutting down processing monitor...
1593607357851,... shutting down processing monitor complete
1593607357851,done
